ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
ID	LABEL	TYPE	SC %	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|
METPO:1000059	phenotype	owl:Class	quality	A (combination of) quality(ies) of an organism determined by the interaction of its genetic make-up and environment that differentiates specific instances of a species from other instances of the same species.	OGMS:0000023		https://biolink.github.io/biolink-model/PhenotypicQuality						
METPO:1000646	hydrogenotrophic	owl:Class	trophic type										
METPO:1000642	copiotrophic	owl:Class	nutrient adaptation									copiotroph	
METPO:1000704	flagellated	owl:Class	motile							flagella			
METPO:1000805	Electron transfer	owl:Class	metabolism										
METPO:1000688	coccobacillus shaped	owl:Class	cell shape							coccobacillus			
METPO:1000689	disc shaped	owl:Class	cell shape							disc			
METPO:1000699	gram negative	owl:Class	gram stain							negative	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	negative	G_negative
METPO:1001103	biosafety level 2	owl:Class	biosafety level										
METPO:1000676	helical shaped	owl:Class	cell shape									helical-shaped	
METPO:1003005	facultatively alkaphilic	owl:Class	pH growth preference					facultative alkaliphile|facultatively alkaliphilic|facultative alkaphilic					
METPO:1000683	sphere shaped	owl:Class	cell shape								https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	sphere-shaped	s_sphere
METPO:1000631	trophic type	owl:Class	phenotype	The quality of how an organism obtains its carbon and energy.					nutritional type	pathways		Physiology and metabolism.nutrition type.type|General.keywords	
METPO:1000691	irregular shaped	owl:Class	cell shape							irregular			
METPO:1000665	photolithoautotrophic	owl:Class	trophic type									photolithoautotroph	
METPO:1000668	coccus shaped	owl:Class	cell shape							coccus		coccus-shaped	
METPO:1003007	facultatively acidophilic	owl:Class	pH growth preference					facultative acidophile|facultatively acidophilic					
METPO:1000306	temperature range (growth tolerance)	owl:Class	phenotype	The span of temperatures within which an organism can grow									
METPO:1000680	ring shaped	owl:Class	cell shape							ring		ring-shaped	
METPO:1000731	nutrient adaptation		trophic type										
METPO:1000698	gram positive	owl:Class	gram stain							positive	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	positive	G_positive
METPO:1000806	Disproportionation	owl:Class	metabolism										
METPO:1000844	Methanogenesis	owl:Class	metabolism						Carbonate respiration|Biomethanation|Biological methanation	methanogenesis			
METPO:1000626	stenohaline	owl:Class	halophily preference							stenohaline			
METPO:1000870	sporulation	owl:Class	phenotype							sporulation		Physiology and metabolism.spore formation.spore formation|General.keywords	
METPO:1000695	tailed shaped	owl:Class	cell shape							tailed			
METPO:1002005	Fermentation	owl:Class	respiration										
METPO:1000702	motile	owl:Class	motility							yes	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	yes	motile
METPO:1000677	ovoid shaped	owl:Class	cell shape								https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	ovoid-shaped	s_ovoid
METPO:1003008	acidotolerant	owl:Class	pH growth preference					aciduric					
METPO:1000703	non motile	owl:Class	motility							no	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	no	non- motile
METPO:1000663	chemoorganotrophic	owl:Class	trophic type									chemoorganotroph	
METPO:1000331	pH optimum (metabolic efficiency)	owl:Class	phenotype	The specific hydrogen ion concentration at which a microorganism achieves its maximum growth rate and metabolic efficiency.									
METPO:1000801	Aerobic respiration	owl:Class	respiration						Oxygen respiration|Oxic respiration				
METPO:1000632	autotrophic	owl:Class	trophic type							autotrophy		autotroph	
METPO:1001001	optimum temperature observation	owl:Class	observation	An observation specializing temperature observation for optimum temperature data.									
METPO:1000334	NaCl range	owl:Class	phenotype	The span of sodium chloride concentrations within which a microorganism can maintain osmotic balance and cellular functions.									
METPO:1000685	star shaped	owl:Class	cell shape							star	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	star-shaped	s_star_dumbbell_pleomorphic
METPO:1000686	vibrio shaped	owl:Class	cell shape							vibrio		vibrio-shaped	
METPO:1000675	flask shaped	owl:Class	cell shape							flask		flask-shaped	
METPO:1000633	carboxydotrophic	owl:Class	trophic type										
METPO:1001104	biosafety level 3	owl:Class	biosafety level										
METPO:1003010	xerophilic	owl:Class	trophic type	low H2O availability									
METPO:1002003	Cable bacteria metabolism	owl:Class	metabolism										
METPO:1000681	rod shaped	owl:Class	cell shape								https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	rod-shaped	s_rod
METPO:1000654	oligotrophic	owl:Class	nutrient adaptation									oligotroph	
METPO:1000629	halophily preference	owl:Class	phenotype							range_salinity		Physiology and metabolism.halophily.halophily level|General.keywords	
METPO:1003006	obligately acidophilic	owl:Class	pH growth preference					obligate acidophile|obligately acidophilic					
METPO:1000625	slightly halophilic	owl:Class	halophily preference									slightly halophilic	
METPO:1002038	Methane oxidation	owl:Class	metabolism										
METPO:1000672	dumbbell shaped	owl:Class	cell shape								https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv	dumbbell-shaped	s_star_dumbbell_pleomorphic
METPO:1001003	temperature range observation	owl:Class	observation	An observation specializing temperature observation for growth temperature range data.									
METPO:1000694	square shaped	owl:Class	cell shape							square			
METPO:1000647	lithoautotrophic	owl:Class	trophic type									lithoautotroph	
