ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
ID	LABEL	TYPE	SC %	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|
METPO:1000845	Acetogenesis	owl:Class	metabolism	A metabolic process in which acetate is produced as the primary end product through the reduction of carbon dioxide or other carbon compounds, typically performed by acetogenic bacteria under anaerobic conditions.		Reasoning: Follows genus-differentia form by specifying it as a metabolic process with clear distinguishing characteristics (acetate production, CO2 reduction, anaerobic). Distinguished from other metabolic processes by the specific end product.							
METPO:1003008	acidotolerant	owl:Class	pH growth preference	A pH growth preference in which an organism can tolerate and grow in acidic environments (typically pH below 5.5) but exhibits optimal growth at neutral pH.		Reasoning: Distinguishes acidotolerant from acidophilic organisms by emphasizing tolerance of acidic conditions while maintaining neutral pH preference for optimal growth.							
METPO:1000679	pleomorphic shaped	owl:Class	cell shape	A cell shape in which an organism exhibits variable morphology, with individual cells displaying multiple different shapes or forms under the same environmental conditions.		Reasoning: Clearly defines pleomorphism as a cell shape characteristic distinguished by morphological variability, which sets it apart from organisms with consistent, defined shapes.							
METPO:1000676	helical shaped	owl:Class	cell shape	A cell shape in which an organism has a corkscrew or spiral morphology, with the cell body forming a helix with one or more complete turns.		Reasoning: Provides clear morphological description that distinguishes helical cells from other elongated or curved cell shapes by the presence of helical turns.							
METPO:1000654	oligotrophic	owl:Class	nutrient adaptation	A nutrient adaptation in which an organism is adapted to grow in environments with low nutrient concentrations, typically exhibiting slow growth rates and efficient nutrient uptake systems.		Reasoning: Distinguishes oligotrophy from copiotrophy by emphasizing adaptation to low nutrient environments and characteristic physiological traits.							
METPO:1003007	facultatively acidophilic	owl:Class	pH growth preference	A pH growth preference in which an organism can grow optimally in acidic environments (typically pH below 5.5) but also has the capability to grow at neutral or slightly alkaline pH.		Reasoning: Clearly distinguishes facultative acidophiles from obligate acidophiles by emphasizing the ability to grow across a range of pH values including both acidic and neutral conditions.							
METPO:1003006	obligately acidophilic	owl:Class	pH growth preference	A pH growth preference in which an organism requires acidic conditions (typically pH below 5.5) for growth and cannot grow at neutral pH.		Reasoning: Distinguishes obligate acidophiles from facultative forms by emphasizing the absolute requirement for acidic conditions and inability to grow at neutral pH.							
METPO:1000663	chemoorganotrophic	owl:Class	trophic type	A trophic type in which an organism obtains energy through chemical oxidation of organic compounds that also serve as the carbon source for biosynthesis.		Reasoning: Clearly distinguishes chemoorganotrophy from other trophic types by specifying both the energy source (chemical oxidation of organic compounds) and the role of organic compounds as carbon source.							
METPO:1000668	coccus shaped	owl:Class	cell shape	A cell shape in which an organism has a spherical or nearly spherical morphology, with roughly equal dimensions in all directions.		Reasoning: Classic definition of coccus shape that distinguishes it from other cell shapes by its spherical geometry and dimensional equality.							
