ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
ID	LABEL	TYPE	SC %	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|
METPO:1000059	phenotype	owl:Class	quality	A quality or combination of qualities of an organism determined by the interaction of its genetic makeup and environment that differentiates specific instances of a species from other instances of the same species.	OGMS:0000023|PATO:0000001	Existing definition from OGMS:0000023 already OBO-compliant. | Reasoning: Definition follows genus-differentia form with 'quality' as genus. Aligns with OGMS:0000023 definition and PATO quality concepts. | Parent class ID: PATO:0000001							
METPO:1000626	stenohaline	owl:Class	halophily preference	A halophily preference in which an organism can only tolerate a narrow range of salinity concentrations and cannot survive significant changes in environmental salt levels.	PATO:0001655|ENVO:00002230|PMID:22092493	Stenohaline organisms have narrow salinity tolerance, contrasting with euryhaline organisms. | Quantitative values: Salinity Tolerance Range: < 5% variation from optimum (Source: PMID:22092493) | Reasoning: Distinguishes stenohaline from euryhaline organisms by narrow salinity tolerance range. | Parent class ID: PATO:0001655							
METPO:1000646	hydrogenotrophic	owl:Class	trophic type	A trophic type in which an organism uses molecular hydrogen as an electron donor for energy generation and carbon dioxide as the primary carbon source.	GO:0006091|CHEBI:18276|PMID:23645609	Common in methanogenic archaea and some bacteria. | Reasoning: Definition specifies H2 as electron donor and CO2 fixation, characteristic of hydrogenotrophic metabolism. | Parent class ID: GO:0006091							
METPO:1000658	photolithotrophic	owl:Class	trophic type	A trophic type in which an organism uses light as the energy source and inorganic compounds as electron donors, typically with carbon dioxide as the primary carbon source.	GO:0015979|GO:0015980	Found in cyanobacteria and some purple and green sulfur bacteria. | Reasoning: Combines phototrophy (light energy) with lithotrophy (inorganic electron donors) and autotrophy (CO2 fixation). | Parent class ID: GO:0006091							
METPO:1000697	gram stain	owl:Class	phenotype	A phenotype determined by the differential staining characteristics of bacterial cell walls when treated with Gram stain reagents, reflecting differences in cell wall structure and composition.	PATO:0000001|GO:0009274	Fundamental bacterial classification based on cell wall structure. | Reasoning: Definition emphasizes cell wall structure as the basis for Gram staining results. | Parent class ID: PATO:0000001							
METPO:1000333	NaCl optimum	owl:Class	phenotype	A phenotype that describes the specific concentration of sodium chloride at which a microorganism exhibits maximum growth rate and metabolic efficiency.	PATO:0000033|CHEBI:26710	Related to halophily preferences but specifically defines optimal concentration point. | Reasoning: Definition refined to follow genus-differentia form. No organism-specific values included. | Parent class ID: PATO:0000001							
METPO:1000666	cell shape	owl:Class	phenotype	A phenotype that describes the characteristic three-dimensional morphological form of a microbial cell, determined by cell wall structure, cytoskeletal elements, and environmental factors.	PATO:0000052|GO:0008360	Cell wall and cytoskeletal elements are key determinants of bacterial shape. | Reasoning: High-level phenotypic category serving as parent for specific shape terms. | Parent class ID: PATO:0000001							
METPO:1000844	Methanogenesis	owl:Class	metabolism	A metabolic process in which methane is produced as the primary end product through the reduction of carbon-containing compounds such as carbon dioxide, formate, methanol, or acetate, exclusively performed by methanogenic archaea under strictly anaerobic conditions.	GO:0015948|CHEBI:16183|PMID:23645609	Temperature range 0-110°C spans psychrophilic to hyperthermophilic methanogens. | Quantitative values: Temperature Range: 0-110°C; Optimal Ph Range: 6.5-7.8 (Source: PMID:23645609) | Reasoning: Definition distinguishes methanogenesis by unique end product, specific substrates, and taxonomic restriction to archaea. | Parent class ID: GO:0008152							
METPO:1000673	ellipsoidal	owl:Class	cell shape	A cell shape in which an organism has an oval or ellipse-like morphology, elongated along one axis with rounded ends, intermediate between spherical and rod-shaped.	PATO:0002318|PMID:24478428	Length-to-width ratio 1.5-3.0 distinguishes from cocci (ratio ~1.0) and elongated rods (ratio >3.0). | Quantitative values: Length To Width Ratio: 1.5-3.0; Length Range: 1.5-4.0 μm; Width Range: 0.8-1.5 μm (Source: PMID:24478428) | Reasoning: Definition provides clear geometric description. Length-to-width ratio quantifies the elongation. | Parent class ID: PATO:0000052							
METPO:1002005	Fermentation	owl:Class	respiration	A metabolic process that generates energy through the oxidation of organic compounds without using an external electron acceptor, using organic molecules as both electron donors and final electron acceptors.	GO:0006113|GO:0055114	Key distinction from respiration is lack of external electron acceptor. | Reasoning: Definition emphasizes internal electron cycling characteristic of fermentation, distinguishing from respiration with external acceptors. | Parent class ID: GO:0045333							
METPO:1000705	axially filamented	owl:Class	motile	A motility phenotype in which an organism possesses axial filaments (endoflagella) located in the periplasmic space between the cell wall and outer membrane, enabling corkscrew-like movement.	GO:0009288|PATO:0000708	Characteristic of spirochetes. Axial filaments provide distinctive motility mechanism. | Reasoning: Definition specifies unique periplasmic location of flagella, characteristic of spirochetes. | Parent class ID: PATO:0000708							
METPO:1000699	gram negative	owl:Class	gram stain	A gram stain result in which bacteria do not retain crystal violet dye and appear pink or red after staining, indicating a thin peptidoglycan layer and presence of an outer membrane.	GO:0009279|GO:0009274	Thin peptidoglycan layer and outer membrane are defining structural features. | Reasoning: Definition specifies staining result and underlying cell wall structure characteristics. | Parent class ID: PATO:0000001							
METPO:1000236	pH tolerance	owl:Class	phenotype	A phenotype describing the ability of an organism to survive exposure to pH values outside its optimal growth range without sustaining lethal damage.	PATO:0001842|GO:0071466	Distinct from pH growth preference which defines optimal conditions. | Reasoning: Definition distinguishes tolerance (survival) from optimal growth preference. | Parent class ID: PATO:0000001							
METPO:1003004	obligately alkaphilic	owl:Class	pH growth preference	A pH growth preference in which an organism requires alkaline conditions (typically pH above 8.5) for growth and cannot grow at neutral or acidic pH.	PATO:0001842|ENVO:01000325|PMID:17223624	Obligate nature means inability to grow at neutral pH, unlike facultative forms. | Quantitative values: Optimal Ph Range: pH 9.0-11.0; Growth Ph Limit: pH 8.5 (Source: PMID:17223624) | Reasoning: Definition emphasizes obligate requirement for high pH, distinguishing from facultative alkaliphiles. | Parent class ID: PATO:0001842							
METPO:1000684	spiral shaped	owl:Class	cell shape	A cell shape in which an organism has a three-dimensional spiral or helical morphology with regular coiling along its longitudinal axis.	PATO:0001795|PATO:0000052	Found in spirochetes and spirilla. Distinct from simple curved shapes. | Reasoning: Definition describes helical geometry characteristic of spirochetes and spirilla. | Parent class ID: PATO:0000052							
METPO:1000700	gram variable	owl:Class	gram stain	A gram stain result in which bacteria from the same culture show both gram-positive and gram-negative staining characteristics, often due to age of culture or cell wall degradation.	GO:0009274|PATO:0000001	Often seen in older cultures or with certain bacteria like Gardnerella. | Reasoning: Definition explains variable staining within a population and common causes. | Parent class ID: PATO:0000001							
