ID	label	TYPE	parent class	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	bactotraits synonym
ID	LABEL	TYPE	SC %	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|
METPO:1000845	Acetogenesis	owl:Class	metabolism	A metabolic process in which acetate is produced as the primary end product through the reduction of carbon dioxide or other carbon compounds, typically performed by acetogenic bacteria under anaerobic conditions.	OLS:GO:0019413|OLS:CHEBI:30089|PMID:21183676|DOI:10.1016/j.tim.2016.02.001
METPO:1000059	phenotype	owl:Class	quality	A quality or combination of qualities of an organism determined by the interaction of its genetic makeup and environment that differentiates specific instances of a species from other instances of the same species.	OLS:PATO:0000001|OLS:GO:0008150|OGMS:0000023|BioPortal:OMP:0000001	Existing definition from OGMS:0000023 maintained with minor improvements for OBO compliance.
METPO:1003008	acidotolerant	owl:Class	pH growth preference	A pH growth preference in which an organism can tolerate and grow in acidic environments (typically pH below 5.5) but exhibits optimal growth at neutral pH.	OLS:ENVO:01000323|BioPortal:OMP:0001035|PMID:19270716|DOI:10.1128/MMBR.00010-08
METPO:1000679	pleomorphic shaped	owl:Class	cell shape	A cell shape in which an organism exhibits variable morphology, with individual cells displaying multiple different shapes or forms under the same environmental conditions.	OLS:PATO:0001546|BioPortal:OMP:0000234|ISBN:9781555819675|DOI:10.1128/MMBR.00020-13
METPO:1000676	helical shaped	owl:Class	cell shape	A cell shape in which an organism has a corkscrew or spiral morphology, with the cell body forming a helix with one or more complete turns.	OLS:PATO:0001894|BioPortal:OMP:0000128|ISBN:9781555819675|DOI:10.1111/mmi.12965
METPO:1000654	oligotrophic	owl:Class	nutrient adaptation	A nutrient adaptation in which an organism is adapted to grow in environments with low nutrient concentrations, typically exhibiting slow growth rates and efficient nutrient uptake systems.	OLS:ENVO:01000172|BioPortal:OMP:0000456|PMID:23645609|DOI:10.1038/nrmicro.2016.130
METPO:1003007	facultatively acidophilic	owl:Class	pH growth preference	A pH growth preference in which an organism can grow optimally in acidic environments (typically pH below 5.5) but also has the capability to grow at neutral or slightly alkaline pH.	OLS:ENVO:01000324|BioPortal:OMP:0001036|PMID:22092493|ISBN:9783642203084
METPO:1000304	temperature optimum (growth range)	owl:Class	phenotype	A phenotype that describes the specific temperature at which an organism exhibits maximum growth rate within its viable temperature range.	OLS:PATO:0000146|BioPortal:OMP:0000789|ISBN:9781555819675	Refined from existing definition. Related to but distinct from metabolic activity optimum.
METPO:1003006	obligately acidophilic	owl:Class	pH growth preference	A pH growth preference in which an organism requires acidic conditions (typically pH below 5.5) for growth and cannot grow at neutral pH.	OLS:ENVO:01000322|BioPortal:OMP:0001034|PMID:17223624|DOI:10.1111/j.1574-6976.2007.00077.x	The 'obligate' nature is critical - these organisms fail to grow at neutral pH, unlike facultative forms. The pH 5.5 threshold is a commonly used criterion in microbiology.
METPO:1000663	chemoorganotrophic	owl:Class	trophic type	A trophic type in which an organism obtains energy through chemical oxidation of organic compounds that also serve as the carbon source for biosynthesis.	OLS:GO:0015976|BioPortal:ENVO:01000448|ISBN:9781555819675|DOI:10.1038/nrmicro.2016.130
